🔴赤,🔵青,🟡黄,🟢緑,🟣紫
呪術(高専),ハンターハンター(指定ポケット),ブルーロック(凪怜王),ワンパンマン(サイタマ),ヒロアカ(死柄木)
ブルーロック(三者融合),トリコ(食材トリコ),銀魂(茂茂),ガメラ(陸ガメラ),ヒロアカ(死穢八斎會)
ブルーロック(蜂凛),ブルーロック(チームZ),銀魂(新選組),ヒロアカ(緑デク),BLEACH(一護)
仮面ライダー(電王),ガメラ(ジャイガーバイラス),呪術(式神),ヒロアカ(ミリオ),BLEACH(リムーブ一護)
ヒロアカ(ミルコホークス),呪術(宿儺),呪術(五条),コードギアス(ランスロット),SAO(プログレッシブ)
ワンパンマン(ソニック),コードギアス(神虎),ヒロアカ(黄デク),ロボコ(ガチゴリラ),SAO(歌)
シャンフロ(ウェザエモン),テイルズ(リンウェル),ロボコ(円ちゃん),怪獣8号(日比野カフカ),幽遊白書(陣酎鴉)
シャンフロ(三馬鹿),進撃の巨人(リヴァイ),大大大好き(院田),大大大好き(薬膳栄逢),シャニマス(アンティーカ)
学マス(信号機),進撃の巨人(クリスタ),大大大好き(羽々里),Dr.STONE(クラフト),Dr.STONE(ゲン)
学マス(リーリヤ),SAO(アインクラッド),怪獣8号(レノキコル),Dr.STONE(復活液),呪術(真人)
シャニマス(ストレイライト),SAO(ALO),Dr.STONE(石油),シャンフロ(ヴォーパル魂),呪術(京都校)
進撃の巨人(8エレン家がぁあ),BLEACH(マユリ),Dr.STONE(石神村),幽遊白書(浦飯幽助),鬼滅の刃(無惨)
アンデラ(アンディ),BLEACH(月牙),ノワール(ノワール),SAO(GGO),銀魂(白夜叉)
アンデラ(ジュイス),学マス(生徒会),SAO(女神),SAO(ユウキ),トリコ(トリコスタージュン)
ブラクロ(アスタ),SHY(アマラリク),SAO(整合騎士),BLEACH(山本のおじいちゃん),ハンターハンター(幻影旅団)
ブラクロ(ノエル),SHY(ヒーロー),BLEACH(バンビーズ),BLEACH(護廷十三隊),ブラクロ(黒の暴牛)
SHY(シャイミェンロン),転すら(シズリムル),BLEACH(星十字騎士団),ウィンドブレイカー(ボウフウリン),ブラクロ(漆黒)
,転すら(ソウエイ),ワンパンマン(ジェノスサイタマ),進撃の巨人(やるんだな!今...ここで!),アンデラ(ヴィクトール)
,ロボコ(膝),ワンパンマン(タツマキフブキ),進撃の巨人(獣の巨人),アンデラ(UNDER)
,ロボコ(バミュ4),ウィンドブレイカー(黄ボウフウリン),ハンターハンター(クラピカ),転すら(リムル)
,ハンターハンター(ボマー),ウィンドブレイカー(獅子頭連),転すら(ヴェルドラ),転すら(ヒナタ)
,アークナイツ(ドクター),進撃の巨人(エレン),転すら(ミリム),ハガレン(お父様)
,アークナイツ(4500),進撃の巨人(アルミン),ロボコ(動物),ハガレン(人間)
,ハガレン(マスタング),転すら(ディアブロ),怪獣8号(保科),リゼロ(エキドナ)
,ハガレン(ブリッグズ),転すら(鬼人),ブラクロ(メレオレオナ),リゼロ(ベアトリス)
,リゼロ(クルシュ),ロボコ(食べ物),ブラクロ(アスタユノ),
,リゼロ(死に戻り),ハンターハンター(レイザー),,
,,ハンターハンター(攻略組),,
,,NIKKE(記憶),,
,,NIKKE(エキゾチック),,
,,アークナイツ(フロストノヴァ),,
,,ハガレン(エルリック兄弟),,
,,ハガレン(シン国),,
,,リゼロ(エミリア),,
,,リゼロ(レム&ラム),,
