デッキ名,Tier
🔴赤,
アンデラ(アンディ),3
アンデラ(ジュイス),3
ブラクロ(アスタ),2
ブラクロ(ノエル),4
SHY,2
🔵青,
SHY(アマラリク),4
SHY(ヒーロー),2
転すら(リムル),2.5
転すら(ソウエイ),1.5
ロボコ(膝),2
ロボコ(バミュ4),5
SAO(ALO),4
ハンターハンター(ボマー),4
アークナイツ(ドクター),3
アークナイツ(4500),3
ハガレン(マスタング),2.5
ハガレン(ブリッグズ),3
🟡黄,
転すら(ディアブロ),3
転すら(鬼人),2.5
ロボコ(食べ物),5
ロボコ(円ちゃん),4
ハンターハンター(レイザー),5
ハンターハンター(攻略組),5
銀魂(新選組),5
NIKKE(記憶),4
NIKKE(エキゾチック),4
アークナイツ(フロストノヴァ),2
ワンパンマン(サイタマ),3
ハガレン(エルリック兄弟),3
ハガレン(シン国),4
🟢緑,
ハンターハンター(クラピカ),2.5
転すら(ヴェルドラ),2.5
転すら(ミリム),2.5
SAO(ユウキ),2.5
SAO(GGO),1.5
ロボコ(ガチゴリラ),5
ロボコ(動物),5
怪獣8号(保科),3
ブラクロ(メレオレオナ),4
ブラクロ(アスタユノ),4
🟣紫,
ハンターハンター(幻影旅団),5
ブラクロ(黒の暴牛),4
ブラクロ(漆黒),3
アンデラ(ヴィクトール),2.5
アンデラ(UNDER),3
転すら(リムル),1.5
転すら(ヒナタ),2
ハガレン(お父様),2.5
ハガレン(人間),2.5
