デッキ名,Tier
BLEACH(護廷十三隊),3
BLEACH(山本のおじいちゃん),3
Dr.STONE(クラフト),3
Dr.STONE(復活液),5
NIKKE(テトラライン),5
NIKKE(ミシリス),4
SAO(GGO),1.5
SAO(ユウキ),2.5
ウィンドブレイカー(ボウフウリン),1.5
ガメラ(海ガメラ),4
ガメラ(空ガメラ),5
ガメラ(陸ガメラ),3
コードギアス(ナイトオブラウンズ),4
コードギアス(ランスロット),1.5
シャンフロ(ヴォーパル魂),1
シャンフロ(サイガ0),3
テイルズ(シオン&アルフェン),5
テイルズ(デュオハリム&シオン),5
ハンターハンター(クラピカ),2.5
ハンターハンター(ゴン&キルア),5
ヒロアカ(ミリオ),5
ヒロアカ(緑デク),4
ブラクロ(アスタユノ),4
ブラクロ(メレオレオナ),3
ロボコ(ガチゴリラ),5
ロボコ(動物),5
ワンパンマン(サイタマ),2
ワンパンマン(金属バット),4
怪獣8号(日比野カフカ),2.5
怪獣8号(保科),3
進撃の巨人(やるんだな!今...ここで!),3
進撃の巨人(獣の巨人),3
大大大好き(吉本&栄逢),2.5
大大大好き(薬膳&栄逢),2
大大大好き(薬膳栄逢),2.5
転すら(ヴェルドラ),2.5
転すら(ミリム),2.5
幽遊白書(浦飯幽助),2
幽遊白書(幻海),2.5
