デッキ名,Tier
SHY(シャイミェンロン),2
SHY(ミェンロン),3
アークナイツ(ペンギン急便),4
アークナイツ(龍門),2.5
アンデラ(アンディ),3
アンデラ(ジュイス),3
キン肉マン(キン肉マン&テリーマン),1.5
キン肉マン(ロビンマスク),2
コードギアス(アッシュホード学園),2
コードギアス(ピザ),4
シャニマス(ストレイライト),4
シャニマス(放課後クライマックス),5
シャンフロ(ウェザエモン),4
シャンフロ(三馬鹿),3
テイルズ(アルフォン&シオン),5
テイルズ(ロウ&リンウェル),5
ノワール(カナタ&ミステル),4
ノワール(クラウディア&フラム),3
ハイキュー(月島),2.5
ハイキュー(日向&影山),2
ヒロアカ(ミルコホークス),4
ヒロアカ(爆豪&桐島),4
ブラクロ(アスタ),2
ブラクロ(ノエル),4
ブルーロック(三者融合),5
ブルーロック(蜂凛),2.5
マクロス(FireBomber),1.5
マクロス(ジーナス),2
まどマギ(さやか&杏子),3
まどマギ(まどか&ほむら),2
ワンパンマン(ガロウ),3
ワンパンマン(ソニック),3
仮面ライダー(ファイズ),2.5
仮面ライダー(電王),1.5
学マス(リーリヤ),2
学マス(信号機),1.5
鬼滅の刃(かまぼこ隊),3
鬼滅の刃(宇髄天元),4
鬼滅の刃(煉獄),3
銀魂(桂),4
呪術(夏油),5
呪術(高専),4
進撃の巨人(104期兵団),2
進撃の巨人(8エレン家がぁあ),1.5
鉄拳(デビル仁),5
鉄拳(一八三島),3
幽遊白書(蔵馬&幽助),3
幽遊白書(飛影&蔵馬),3
るろうに剣心(剣心),1
るろうに剣心(左之助),2.5
物語(ひたぎ&駿河),2.5
物語(八九寺真宵),1.5
