デッキ名,Tier
2.5次元(リリサ&753),2.5
2.5次元(天使空挺隊),2.5
BLEACH(マユリ),2.5
BLEACH(月牙),2
SAO(ALO),4
SAO(アインクラッド),2.5
SHY(アマラリク),4
SHY(ヒーロー),2.5
アークナイツ(4500),3
アークナイツ(ドクター),3
学マス(生徒会),2
ガメラ(ギャオス),3
ガメラ(ジグラ),4
ガメラ(ジャイガーバイラス),3
コードギアス(黒の騎士団),2.5
コードギアス(神虎),3
コードギアス(神虎&ヴィンセント),3
シャニマス(ノクチル),3
シャニマス(青アンティーカ),4
テイルズ(キサラ),5
テイルズ(リンウェル),3
トリコ(食材トリコ),4
ハイキュー(青葉城西),5
ハイキュー(白鳥沢),5
ハガレン(ブリッグズ),4
ハガレン(マスタング),2.5
ハンターハンター(ボマー),3
ハンターハンター(指定ポケット),4
ブルーロック(チームZ),5
ブルーロック(潔&凪),3
マクロス(イサム),1
マクロス(トライアングラー),1.5
ロボコ(バミュ4),5
ロボコ(膝),1.5
学マス(補習組),2
鬼滅の刃(甘露寺),4
鬼滅の刃(青炭治郎&禰󠄀豆子),3
鬼滅の刃(炭治郎&甘露寺),2.5
呪術(七海),2.5
呪術(宿儺),1.5
進撃の巨人(クリスタ),1.5
進撃の巨人(リヴァイ),2
奪還のロゼ(キャサリン&ナラ),2
奪還のロゼ(ファウルバウト),1
鉄拳(ヴァイオレット),4
鉄拳(レオ&キング),3
転すら(シズリムル),2.5
転すら(ソウエイ),1.5
リゼロ(クルシュ),2
リゼロ(死に戻り),1
仮面ライダー(エグゼイド),4
仮面ライダー(オーズ),2.5
るろうに剣心(剣心&清十郎),2.5
るろうに剣心(四乃森),2.5
